Provider_ID,Measure,Rate,Footnote,Start_Quarter,End_Quarter
010061,Foreign Object Retained After Surgery,0.000,,3Q2021,2Q2023
010061,Air Embolism,0.000,,3Q2021,2Q2023
010061,Blood Incompatibility,0.000,,3Q2021,2Q2023
010061,"Falls and Trauma (Includes fractures, dislocations, intracranial injuries, crushing injuries, burns, other injuries)",0.876,,3Q2021,2Q2023
010062,Foreign Object Retained After Surgery,0.000,,3Q2021,2Q2023
010062,Air Embolism,0.000,,3Q2021,2Q2023
010062,Blood Incompatibility,0.000,,3Q2021,2Q2023
010062,"Falls and Trauma (Includes fractures, dislocations, intracranial injuries, crushing injuries, burns, other injuries)",0.000,,3Q2021,2Q2023
010065,Foreign Object Retained After Surgery,0.000,,3Q2021,2Q2023
010065,Air Embolism,0.000,,3Q2021,2Q2023
010065,Blood Incompatibility,0.000,,3Q2021,2Q2023
010065,"Falls and Trauma (Includes fractures, dislocations, intracranial injuries, crushing injuries, burns, other injuries)",0.000,,3Q2021,2Q2023
010069,Foreign Object Retained After Surgery,0.000,,3Q2021,2Q2023
010069,Air Embolism,0.000,,3Q2021,2Q2023
010069,Blood Incompatibility,0.000,,3Q2021,2Q2023
010069,"Falls and Trauma (Includes fractures, dislocations, intracranial injuries, crushing injuries, burns, other injuries)",4.175,,3Q2021,2Q2023
010073,Foreign Object Retained After Surgery,0.000,,3Q2021,2Q2023
010073,Air Embolism,0.000,,3Q2021,2Q2023
010073,Blood Incompatibility,0.000,,3Q2021,2Q2023
010073,"Falls and Trauma (Includes fractures, dislocations, intracranial injuries, crushing injuries, burns, other injuries)",0.000,,3Q2021,2Q2023
010078,Foreign Object Retained After Surgery,0.000,,3Q2021,2Q2023
010078,Air Embolism,0.000,,3Q2021,2Q2023
010078,Blood Incompatibility,0.000,,3Q2021,2Q2023
010078,"Falls and Trauma (Includes fractures, dislocations, intracranial injuries, crushing injuries, burns, other injuries)",0.717,,3Q2021,2Q2023
010079,Foreign Object Retained After Surgery,0.000,,3Q2021,2Q2023
010079,Air Embolism,0.000,,3Q2021,2Q2023
010079,Blood Incompatibility,0.000,,3Q2021,2Q2023
010079,"Falls and Trauma (Includes fractures, dislocations, intracranial injuries, crushing injuries, burns, other injuries)",0.963,,3Q2021,2Q2023
010083,Foreign Object Retained After Surgery,0.000,,3Q2021,2Q2023
010083,Air Embolism,0.000,,3Q2021,2Q2023
010083,Blood Incompatibility,0.000,,3Q2021,2Q2023
010083,"Falls and Trauma (Includes fractures, dislocations, intracranial injuries, crushing injuries, burns, other injuries)",0.296,,3Q2021,2Q2023
010085,Foreign Object Retained After Surgery,0.000,,3Q2021,2Q2023
010085,Air Embolism,0.000,,3Q2021,2Q2023
010085,Blood Incompatibility,0.000,,3Q2021,2Q2023
010085,"Falls and Trauma (Includes fractures, dislocations, intracranial injuries, crushing injuries, burns, other injuries)",0.419,,3Q2021,2Q2023
010086,Foreign Object Retained After Surgery,0.000,,3Q2021,2Q2023
010086,Air Embolism,0.000,,3Q2021,2Q2023
010086,Blood Incompatibility,0.000,,3Q2021,2Q2023
010086,"Falls and Trauma (Includes fractures, dislocations, intracranial injuries, crushing injuries, burns, other injuries)",0.000,,3Q2021,2Q2023
010087,Foreign Object Retained After Surgery,0.000,,3Q2021,2Q2023
010087,Air Embolism,0.000,,3Q2021,2Q2023
010087,Blood Incompatibility,0.000,,3Q2021,2Q2023
010087,"Falls and Trauma (Includes fractures, dislocations, intracranial injuries, crushing injuries, burns, other injuries)",0.938,,3Q2021,2Q2023
010089,Foreign Object Retained After Surgery,0.000,,3Q2021,2Q2023
010089,Air Embolism,0.000,,3Q2021,2Q2023
010089,Blood Incompatibility,0.000,,3Q2021,2Q2023
010089,"Falls and Trauma (Includes fractures, dislocations, intracranial injuries, crushing injuries, burns, other injuries)",0.489,,3Q2021,2Q2023
010090,Foreign Object Retained After Surgery,0.000,,3Q2021,2Q2023
010090,Air Embolism,0.000,,3Q2021,2Q2023
010090,Blood Incompatibility,0.000,,3Q2021,2Q2023
010090,"Falls and Trauma (Includes fractures, dislocations, intracranial injuries, crushing injuries, burns, other injuries)",0.209,,3Q2021,2Q2023
010091,Foreign Object Retained After Surgery,0.000,,3Q2021,2Q2023
010091,Air Embolism,0.000,,3Q2021,2Q2023
010091,Blood Incompatibility,0.000,,3Q2021,2Q2023
010091,"Falls and Trauma (Includes fractures, dislocations, intracranial injuries, crushing injuries, burns, other injuries)",0.000,,3Q2021,2Q2023
010092,Foreign Object Retained After Surgery,0.000,,3Q2021,2Q2023
010092,Air Embolism,0.000,,3Q2021,2Q2023
010092,Blood Incompatibility,0.000,,3Q2021,2Q2023
010092,"Falls and Trauma (Includes fractures, dislocations, intracranial injuries, crushing injuries, burns, other injuries)",0.222,,3Q2021,2Q2023
010095,Foreign Object Retained After Surgery,0.000,,3Q2021,2Q2023
010095,Air Embolism,0.000,,3Q2021,2Q2023
010095,Blood Incompatibility,0.000,,3Q2021,2Q2023
010095,"Falls and Trauma (Includes fractures, dislocations, intracranial injuries, crushing injuries, burns, other injuries)",0.000,,3Q2021,2Q2023
010097,Foreign Object Retained After Surgery,0.000,,3Q2021,2Q2023
010097,Air Embolism,0.000,,3Q2021,2Q2023
010097,Blood Incompatibility,0.000,,3Q2021,2Q2023
010097,"Falls and Trauma (Includes fractures, dislocations, intracranial injuries, crushing injuries, burns, other injuries)",0.000,,3Q2021,2Q2023
010099,Foreign Object Retained After Surgery,0.000,,3Q2021,2Q2023
010099,Air Embolism,0.000,,3Q2021,2Q2023
010099,Blood Incompatibility,0.000,,3Q2021,2Q2023
010099,"Falls and Trauma (Includes fractures, dislocations, intracranial injuries, crushing injuries, burns, other injuries)",0.000,,3Q2021,2Q2023
010100,Foreign Object Retained After Surgery,0.000,,3Q2021,2Q2023
010100,Air Embolism,0.000,,3Q2021,2Q2023
010100,Blood Incompatibility,0.000,,3Q2021,2Q2023
010100,"Falls and Trauma (Includes fractures, dislocations, intracranial injuries, crushing injuries, burns, other injuries)",0.363,,3Q2021,2Q2023
010101,Foreign Object Retained After Surgery,0.000,,3Q2021,2Q2023
010101,Air Embolism,0.000,,3Q2021,2Q2023
010101,Blood Incompatibility,0.000,,3Q2021,2Q2023
010101,"Falls and Trauma (Includes fractures, dislocations, intracranial injuries, crushing injuries, burns, other injuries)",0.000,,3Q2021,2Q2023
010102,Foreign Object Retained After Surgery,0.000,,3Q2021,2Q2023
010102,Air Embolism,0.000,,3Q2021,2Q2023
010102,Blood Incompatibility,0.000,,3Q2021,2Q2023
010102,"Falls and Trauma (Includes fractures, dislocations, intracranial injuries, crushing injuries, burns, other injuries)",0.000,,3Q2021,2Q2023
010103,Foreign Object Retained After Surgery,0.000,,3Q2021,2Q2023
010103,Air Embolism,0.000,,3Q2021,2Q2023
010103,Blood Incompatibility,0.000,,3Q2021,2Q2023
010103,"Falls and Trauma (Includes fractures, dislocations, intracranial injuries, crushing injuries, burns, other injuries)",0.000,,3Q2021,2Q2023
010104,Foreign Object Retained After Surgery,0.000,,3Q2021,2Q2023
010104,Air Embolism,0.000,,3Q2021,2Q2023
010104,Blood Incompatibility,0.000,,3Q2021,2Q2023
010104,"Falls and Trauma (Includes fractures, dislocations, intracranial injuries, crushing injuries, burns, other injuries)",0.585,,3Q2021,2Q2023
010108,Foreign Object Retained After Surgery,0.000,,3Q2021,2Q2023
010108,Air Embolism,0.000,,3Q2021,2Q2023
010108,Blood Incompatibility,0.000,,3Q2021,2Q2023
010108,"Falls and Trauma (Includes fractures, dislocations, intracranial injuries, crushing injuries, burns, other injuries)",0.000,,3Q2021,2Q2023
010110,Foreign Object Retained After Surgery,0.000,,3Q2021,2Q2023
010110,Air Embolism,0.000,,3Q2021,2Q2023
010110,Blood Incompatibility,0.000,,3Q2021,2Q2023
010110,"Falls and Trauma (Includes fractures, dislocations, intracranial injuries, crushing injuries, burns, other injuries)",0.000,,3Q2021,2Q2023
010112,Foreign Object Retained After Surgery,0.000,,3Q2021,2Q2023
010112,Air Embolism,0.000,,3Q2021,2Q2023
010112,Blood Incompatibility,0.000,,3Q2021,2Q2023
010112,"Falls and Trauma (Includes fractures, dislocations, intracranial injuries, crushing injuries, burns, other injuries)",0.000,,3Q2021,2Q2023
010113,Foreign Object Retained After Surgery,0.000,,3Q2021,2Q2023
010113,Air Embolism,0.000,,3Q2021,2Q2023
010113,Blood Incompatibility,0.000,,3Q2021,2Q2023
010113,"Falls and Trauma (Includes fractures, dislocations, intracranial injuries, crushing injuries, burns, other injuries)",0.231,,3Q2021,2Q2023
010114,Foreign Object Retained After Surgery,0.000,,3Q2021,2Q2023
010114,Air Embolism,0.000,,3Q2021,2Q2023
010114,Blood Incompatibility,0.000,,3Q2021,2Q2023
010114,"Falls and Trauma (Includes fractures, dislocations, intracranial injuries, crushing injuries, burns, other injuries)",0.525,,3Q2021,2Q2023
010118,Foreign Object Retained After Surgery,0.000,,3Q2021,2Q2023
010118,Air Embolism,0.000,,3Q2021,2Q2023
010118,Blood Incompatibility,0.000,,3Q2021,2Q2023
010118,"Falls and Trauma (Includes fractures, dislocations, intracranial injuries, crushing injuries, burns, other injuries)",0.755,,3Q2021,2Q2023
010120,Foreign Object Retained After Surgery,0.000,,3Q2021,2Q2023
010120,Air Embolism,0.000,,3Q2021,2Q2023
010120,Blood Incompatibility,0.000,,3Q2021,2Q2023
010120,"Falls and Trauma (Includes fractures, dislocations, intracranial injuries, crushing injuries, burns, other injuries)",2.315,,3Q2021,2Q2023
010125,Foreign Object Retained After Surgery,0.000,,3Q2021,2Q2023
010125,Air Embolism,0.000,,3Q2021,2Q2023
010125,Blood Incompatibility,0.000,,3Q2021,2Q2023
010125,"Falls and Trauma (Includes fractures, dislocations, intracranial injuries, crushing injuries, burns, other injuries)",0.000,,3Q2021,2Q2023
010126,Foreign Object Retained After Surgery,0.000,,3Q2021,2Q2023
010126,Air Embolism,0.000,,3Q2021,2Q2023
010126,Blood Incompatibility,0.000,,3Q2021,2Q2023
010126,"Falls and Trauma (Includes fractures, dislocations, intracranial injuries, crushing injuries, burns, other injuries)",0.000,,3Q2021,2Q2023
010128,Foreign Object Retained After Surgery,0.000,,3Q2021,2Q2023
010128,Air Embolism,0.000,,3Q2021,2Q2023
010128,Blood Incompatibility,0.000,,3Q2021,2Q2023
010128,"Falls and Trauma (Includes fractures, dislocations, intracranial injuries, crushing injuries, burns, other injuries)",0.000,,3Q2021,2Q2023
010129,Foreign Object Retained After Surgery,0.000,,3Q2021,2Q2023
010129,Air Embolism,0.000,,3Q2021,2Q2023
010129,Blood Incompatibility,0.000,,3Q2021,2Q2023
010129,"Falls and Trauma (Includes fractures, dislocations, intracranial injuries, crushing injuries, burns, other injuries)",0.000,,3Q2021,2Q2023
010130,Foreign Object Retained After Surgery,0.000,,3Q2021,2Q2023
010130,Air Embolism,0.000,,3Q2021,2Q2023
010130,Blood Incompatibility,0.000,,3Q2021,2Q2023
010130,"Falls and Trauma (Includes fractures, dislocations, intracranial injuries, crushing injuries, burns, other injuries)",2.047,,3Q2021,2Q2023
010131,Foreign Object Retained After Surgery,0.000,,3Q2021,2Q2023
010131,Air Embolism,0.000,,3Q2021,2Q2023
010131,Blood Incompatibility,0.000,,3Q2021,2Q2023
010131,"Falls and Trauma (Includes fractures, dislocations, intracranial injuries, crushing injuries, burns, other injuries)",0.416,,3Q2021,2Q2023
010138,Foreign Object Retained After Surgery,0.000,,3Q2021,2Q2023
010138,Air Embolism,0.000,,3Q2021,2Q2023
010138,Blood Incompatibility,0.000,,3Q2021,2Q2023
010138,"Falls and Trauma (Includes fractures, dislocations, intracranial injuries, crushing injuries, burns, other injuries)",0.000,,3Q2021,2Q2023
010139,Foreign Object Retained After Surgery,0.000,,3Q2021,2Q2023
010139,Air Embolism,0.000,,3Q2021,2Q2023
010139,Blood Incompatibility,0.000,,3Q2021,2Q2023
010139,"Falls and Trauma (Includes fractures, dislocations, intracranial injuries, crushing injuries, burns, other injuries)",0.322,,3Q2021,2Q2023
010144,Foreign Object Retained After Surgery,0.000,,3Q2021,2Q2023
010144,Air Embolism,0.000,,3Q2021,2Q2023
010144,Blood Incompatibility,0.000,,3Q2021,2Q2023
010144,"Falls and Trauma (Includes fractures, dislocations, intracranial injuries, crushing injuries, burns, other injuries)",0.313,,3Q2021,2Q2023
010148,Foreign Object Retained After Surgery,0.000,,3Q2021,2Q2023
010148,Air Embolism,0.000,,3Q2021,2Q2023
010148,Blood Incompatibility,0.000,,3Q2021,2Q2023
010148,"Falls and Trauma (Includes fractures, dislocations, intracranial injuries, crushing injuries, burns, other injuries)",1.227,,3Q2021,2Q2023
010149,Foreign Object Retained After Surgery,0.000,,3Q2021,2Q2023
010149,Air Embolism,0.000,,3Q2021,2Q2023
010149,Blood Incompatibility,0.000,,3Q2021,2Q2023
010149,"Falls and Trauma (Includes fractures, dislocations, intracranial injuries, crushing injuries, burns, other injuries)",0.000,,3Q2021,2Q2023
010150,Foreign Object Retained After Surgery,0.000,,3Q2021,2Q2023
010150,Air Embolism,0.000,,3Q2021,2Q2023
010150,Blood Incompatibility,0.000,,3Q2021,2Q2023
010150,"Falls and Trauma (Includes fractures, dislocations, intracranial injuries, crushing injuries, burns, other injuries)",0.000,,3Q2021,2Q2023
010157,Foreign Object Retained After Surgery,0.000,,3Q2021,2Q2023
010157,Air Embolism,0.000,,3Q2021,2Q2023
010157,Blood Incompatibility,0.000,,3Q2021,2Q2023
010157,"Falls and Trauma (Includes fractures, dislocations, intracranial injuries, crushing injuries, burns, other injuries)",3.236,,3Q2021,2Q2023
010158,Foreign Object Retained After Surgery,0.000,,3Q2021,2Q2023
010158,Air Embolism,0.000,,3Q2021,2Q2023
010158,Blood Incompatibility,0.000,,3Q2021,2Q2023
010158,"Falls and Trauma (Includes fractures, dislocations, intracranial injuries, crushing injuries, burns, other injuries)",1.418,,3Q2021,2Q2023
010164,Foreign Object Retained After Surgery,0.000,,3Q2021,2Q2023
010164,Air Embolism,0.000,,3Q2021,2Q2023
010164,Blood Incompatibility,0.000,,3Q2021,2Q2023
010164,"Falls and Trauma (Includes fractures, dislocations, intracranial injuries, crushing injuries, burns, other injuries)",0.993,,3Q2021,2Q2023
010168,Foreign Object Retained After Surgery,0.000,,3Q2021,2Q2023
010168,Air Embolism,0.000,,3Q2021,2Q2023
010168,Blood Incompatibility,0.000,,3Q2021,2Q2023
010168,"Falls and Trauma (Includes fractures, dislocations, intracranial injuries, crushing injuries, burns, other injuries)",1.558,,3Q2021,2Q2023
010169,Foreign Object Retained After Surgery,0.000,,3Q2021,2Q2023
010169,Air Embolism,0.000,,3Q2021,2Q2023
010169,Blood Incompatibility,0.000,,3Q2021,2Q2023
010169,"Falls and Trauma (Includes fractures, dislocations, intracranial injuries, crushing injuries, burns, other injuries)",0.000,,3Q2021,2Q2023
010173,Foreign Object Retained After Surgery,0.000,,3Q2021,2Q2023
010173,Air Embolism,0.000,,3Q2021,2Q2023
010173,Blood Incompatibility,0.000,,3Q2021,2Q2023
010173,"Falls and Trauma (Includes fractures, dislocations, intracranial injuries, crushing injuries, burns, other injuries)",0.000,,3Q2021,2Q2023
010174,Foreign Object Retained After Surgery,0.000,,3Q2021,2Q2023
010174,Air Embolism,0.000,,3Q2021,2Q2023
010174,Blood Incompatibility,0.000,,3Q2021,2Q2023
010174,"Falls and Trauma (Includes fractures, dislocations, intracranial injuries, crushing injuries, burns, other injuries)",0.000,,3Q2021,2Q2023
010175,Foreign Object Retained After Surgery,0.000,,3Q2021,2Q2023
010175,Air Embolism,0.000,,3Q2021,2Q2023
010175,Blood Incompatibility,0.000,,3Q2021,2Q2023
010175,"Falls and Trauma (Includes fractures, dislocations, intracranial injuries, crushing injuries, burns, other injuries)",0.000,,3Q2021,2Q2023
020001,Foreign Object Retained After Surgery,0.000,,3Q2021,2Q2023
020001,Air Embolism,0.000,,3Q2021,2Q2023
020001,Blood Incompatibility,0.000,,3Q2021,2Q2023
020001,"Falls and Trauma (Includes fractures, dislocations, intracranial injuries, crushing injuries, burns, other injuries)",0.430,,3Q2021,2Q2023
020006,Foreign Object Retained After Surgery,0.000,,3Q2021,2Q2023
020006,Air Embolism,0.000,,3Q2021,2Q2023
020006,Blood Incompatibility,0.000,,3Q2021,2Q2023
020006,"Falls and Trauma (Includes fractures, dislocations, intracranial injuries, crushing injuries, burns, other injuries)",0.506,,3Q2021,2Q2023
020008,Foreign Object Retained After Surgery,0.000,,3Q2021,2Q2023
020008,Air Embolism,0.000,,3Q2021,2Q2023
020008,Blood Incompatibility,0.000,,3Q2021,2Q2023
020008,"Falls and Trauma (Includes fractures, dislocations, intracranial injuries, crushing injuries, burns, other injuries)",1.029,,3Q2021,2Q2023
020012,Foreign Object Retained After Surgery,0.000,,3Q2021,2Q2023
020012,Air Embolism,0.000,,3Q2021,2Q2023
020012,Blood Incompatibility,0.000,,3Q2021,2Q2023
020012,"Falls and Trauma (Includes fractures, dislocations, intracranial injuries, crushing injuries, burns, other injuries)",0.402,,3Q2021,2Q2023
020017,Foreign Object Retained After Surgery,0.000,,3Q2021,2Q2023
020017,Air Embolism,0.000,,3Q2021,2Q2023
020017,Blood Incompatibility,0.000,,3Q2021,2Q2023
020017,"Falls and Trauma (Includes fractures, dislocations, intracranial injuries, crushing injuries, burns, other injuries)",0.172,,3Q2021,2Q2023
020018,Foreign Object Retained After Surgery,0.000,,3Q2021,2Q2023
020018,Air Embolism,0.000,,3Q2021,2Q2023
020018,Blood Incompatibility,0.000,,3Q2021,2Q2023
020018,"Falls and Trauma (Includes fractures, dislocations, intracranial injuries, crushing injuries, burns, other injuries)",0.000,,3Q2021,2Q2023
020024,Foreign Object Retained After Surgery,0.000,,3Q2021,2Q2023
020024,Air Embolism,0.000,,3Q2021,2Q2023
020024,Blood Incompatibility,0.000,,3Q2021,2Q2023
020024,"Falls and Trauma (Includes fractures, dislocations, intracranial injuries, crushing injuries, burns, other injuries)",1.376,,3Q2021,2Q2023
